mse_unsharp_otsu,mse_unsharp_kmeans
17680.242874145508,17687.91084798177
11454.081064860025,3063.9801737467446
21837.869252522785,921.1995086669922
13143.622477213541,1530.4645589192708
9322.834635416666,3077.2220052083335
11819.893122355143,11732.001261393229
12096.315958658854,2178.4925333658853
9027.662780761719,1605.9852854410808
11046.060429890951,10624.348637898764
11050.521016438803,12370.50560506185
12195.727930704752,2525.9090779622397
20148.63710530599,2697.711970011393
10429.122049967447,9719.010777791342
11527.91286722819,1425.9261067708333
10268.217402140299,2546.0392710367837
16407.090108235676,15857.023981730143
13892.953776041666,13351.897232055664
14462.906997680664,14460.196970621744
17013.405436197918,16532.63316345215
12756.252298990885,1265.1157989501953
11951.045506795248,3077.561192830404
11365.99520365397,12165.890914916992
13610.342885335287,12651.11116027832
12325.444839477539,5160.986190795898
15444.609898885092,1965.9879099527996
9149.441350301107,4178.7497151692705
15219.751291910807,14840.92650349935
15536.05753072103,13022.462158203125
13000.325795491537,1889.1207275390625
11529.036972045898,10667.038853963217
12901.609171549479,11329.83642578125
11597.0095316569,4016.9777475992837
12937.18000793457,4627.620956420898
11158.943990071615,1339.7928771972656
9642.393681844076,6558.652913411458
11664.429387410482,3023.0759633382163
10344.795633951822,12667.142379760742
12643.720687866211,1416.216557820638
8297.699193318686,5794.526921590169
13975.967468261719,11633.145278930664
10944.838877360025,2422.9661814371743
10327.869995117188,11149.16997273763
13672.741826375326,880.1134745279948
8309.553548177084,8528.81201171875
7042.114995320638,441.02093505859375
6353.9205271403,2764.7866719563804
8799.758326212564,2050.5281524658203
8056.77826944987,7975.019958496094
11604.36148071289,2464.3333791097007
16623.93111673991,5430.646169026692
10134.753473917643,579.089853922526
13908.117396036783,15568.927663167318
11184.256159464518,10102.130310058594
13570.451985677084,2033.3560638427734
13531.67399597168,2075.3794453938804
21937.462203979492,21981.38881937663
14667.472127278646,14140.991536458334
9382.677047729492,2152.3722025553384
10296.99634806315,11715.900207519531
14561.242584228516,13791.648813883463
11093.821299235025,1452.3731791178386
14080.165623982748,1324.0060424804688
9970.543151855469,4503.495666503906
12248.138921101889,1797.1139272054036
11007.921081542969,10482.275314331055
12677.118642171225,12846.866353352865
10975.734375,10807.18825785319
14977.04551188151,14294.668757120768
15008.812088012695,15560.28264872233
12051.137410481771,1460.1776784261067
9156.461293538412,4049.9502156575522
15185.976089477539,1007.8303476969401
8727.970962524414,8682.291468302408
17380.168619791668,1321.0955403645833
15133.73220316569,14996.529963175455
12807.842478434244,13057.953404744467
14223.510431925455,1725.3826497395833
15396.07573445638,2024.0924530029297
11948.662958780924,12682.96359761556
17884.841995239258,18115.070037841797
12795.999811808268,13400.523554484049
14497.20307413737,14363.55298868815
5439.6646067301435,2400.6407623291016
9388.838404337564,3474.039825439453
10913.899627685547,2119.331069946289
12515.200714111328,13211.74116007487
9946.24600728353,9812.562016805014
14921.348444620768,15388.693674723307
15852.934153238932,15833.215194702148
16002.430516560873,16329.80868021647
10944.495198567709,11489.171946207682
9743.326919555664,8550.541458129883
10638.908579508463,10657.93034362793
10055.789301554361,9806.615198771158
11527.36117553711,2769.109100341797
14109.268951416016,504.69182840983075
11383.791356404623,10851.983596801758
18418.25306193034,995.1980845133463
25429.005793253582,3577.0691731770835
7053.0865478515625,2271.1617838541665
9257.979700724283,4424.636617024739
8216.51619974772,7937.140533447266
10554.934066772461,5929.036122639974
12840.739705403646,12386.188481648764
8926.32937113444,8901.93537902832
16110.451400756836,1459.709228515625
13742.926259358725,13720.796854654947
9964.805084228516,9552.988906860352
10478.645284016928,2221.564656575521
11465.075709025064,11239.096918741861
11072.662521362305,10739.885289510092
11343.236938476562,2393.6810709635415
13525.86279296875,13566.374059041342
9661.815312703451,9211.573440551758
10338.509948730469,10228.143173217773
12035.015864054361,11752.04889424642
10709.760248819986,3461.637690226237
14109.98898824056,13743.19662475586
10252.69408162435,9924.096755981445
13128.746231079102,13111.237874348959
9264.704615275064,11944.584335327148
12823.829493204752,1628.5509134928386
7090.498194376628,3267.0809326171875
9135.087381998697,8926.295527140299
11863.87055460612,11460.193583170572
9356.22536722819,9167.830754597982
13203.182459513346,4458.289621988933
12592.539031982422,1276.6001230875652
11176.062637329102,1954.2924143473308
14972.539774576822,14945.275843302408
17781.246744791668,16790.319595336914
11007.902338663736,3637.770924886068
17249.072341918945,17591.265055338543
12059.666407267252,2225.452677408854
19817.983957926434,22003.06622314453
11843.885833740234,4147.707534790039
16474.561126708984,886.2097218831381
11703.678304036459,12063.483947753906
11952.669799804688,2153.4876658121743
15115.414413452148,1679.0084126790364
14888.98817952474,14171.367940266928
11579.480941772461,1804.1177469889324
11074.153315226236,1556.766881306966
15076.436442057291,1016.3486378987631
8282.924118041992,8249.917231241861
17171.574249267578,16975.99247233073
8300.293329874674,1968.2015889485676
10724.439905802408,6865.422454833984
17608.599029541016,17768.736134847004
9157.730463663736,2880.2391967773438
18792.042551676434,7416.822428385417
13003.697606404623,13028.50106302897
12657.381154378256,1475.7109273274739
12266.948582967123,12146.468627929688
11844.485895792643,2848.034184773763
14464.309961954752,1084.6445617675781
12596.18596903483,1924.0430755615234
14064.960077921549,13419.47272237142
13301.020690917969,2462.2948150634766
13538.153635660807,13473.572072347006
15782.709889729818,758.4912058512369
11082.134969075521,12555.01670328776
10292.53229268392,3510.6944173177085
10686.306605021158,2144.3318634033203
16431.976313273113,16578.459381103516
12349.294225056967,2170.70724995931
10679.612935384115,2682.4984232584634
7527.026875813802,7731.711029052734
13777.345072428385,1268.135986328125
7734.786636352539,4649.135640462239
11500.754826863607,12385.75080871582
6804.826873779297,8485.400873819986
11726.378239949545,1828.2873128255208
17398.74706522624,17544.899688720703
14392.212707519531,1347.1656951904297
9287.548955281576,8876.488591512045
14780.762730916342,2105.5786641438804
9712.682754516602,4622.164072672526
10733.1447652181,1255.9573211669922
13812.327916463217,4436.131596883138
12123.556660970053,11495.921351114908
10469.504633585611,4409.976577758789
20362.425567626953,9178.341588338217
9640.195134480795,9385.776524861654
15641.228825887045,959.7689463297526
16230.842107137045,16156.02858988444
10454.486826578775,1377.7073923746746
7825.4648996988935,3104.0375315348306
11799.91155497233,2775.966522216797
13371.143102010092,12610.013356526693
11945.924942016602,9584.738082885742
10644.623107910156,10503.441884358725
10172.095586140951,1778.3494822184246
8779.065246582031,8697.41330464681
12780.543512980143,12651.257893880209
19725.936116536457,2675.338862101237
16346.059478759766,2967.3652852376304
16016.670944213867,12765.545516967773
12149.968587239584,10614.022135416666
14550.572285970053,13458.498321533203
14120.351857503256,962.5500030517578
10908.795313517252,2537.8335622151694
7864.42253112793,7266.309946695964
12336.691518147787,12905.41236368815
12552.667861938477,2339.203353881836
16294.39801534017,4894.389338175456
10160.77581278483,2903.758987426758
12127.562464396158,11520.33735148112
12427.249130249023,1434.3626454671223
12002.093078613281,12691.067754109701
14749.723327636719,2899.2922159830728
13285.903442382812,2022.875493367513
10072.016169230143,9156.954401652018
8060.67941792806,8205.314595540365
9861.2568359375,4402.9370676676435
8495.248931884766,8917.867039998373
15023.242045084635,1739.5079854329426
10783.015680948893,10714.628616333008
13861.115763346354,13917.710830688477
10127.382639567057,9879.276209513346
10934.406331380209,10889.824249267578
10226.8798828125,10789.251983642578
16721.216217041016,3325.408976236979
12138.468012491861,11115.942810058594
10837.813786824545,3652.2513376871743
11029.919443766275,11031.996795654297
13711.073303222656,1897.0764058430989
12175.086018880209,2024.4576263427734
11845.87570699056,3276.602350870768
11484.768513997396,3072.111114501953
7920.194193522136,3354.7555643717446
12881.968795776367,4170.157892862956
12763.058609008789,12717.180079142252
9316.103612263998,9095.445658365885
12786.45839436849,1310.4925893147786
10637.135609944662,10126.788070678711
14417.39328511556,15667.942886352539
13014.784362792969,12657.28401184082
17377.414576212566,14823.387700398764
11274.687789916992,6631.432322184245
13081.14023844401,12734.737752278646
10745.845443725586,11075.083307902018
10742.512232462564,10664.60270690918
11238.895034790039,11537.286209106445
11854.078496297201,2781.7997538248696
13441.055297851562,13560.745442708334
13225.656621297201,2276.0160319010415
10947.267761230469,953.9972025553385
11048.822931925455,10638.942286173502
11170.500854492188,1237.7976989746094
11517.904780069986,11280.766784667969
10503.418431599936,9597.202952067057
10850.61516825358,1737.2651265462239
14776.401611328125,14285.87639872233
19996.074793497723,19856.22817993164
11713.284657796225,13740.40219116211
20188.775314331055,17325.544367472332
14192.537063598633,14011.126607259115
12879.53010559082,1210.4025115966797
10750.29379272461,3853.390874226888
10908.585596720377,11318.119379679361
13581.752522786459,3904.203084309896
11200.572082519531,10619.151479085287
13145.37289428711,1155.188212076823
14121.859024047852,13924.577117919922
9934.978530883789,9103.483947753906
13165.739613850912,12887.58913675944
14929.076482137045,15605.29872639974
7117.213612874349,4582.862279256185
12583.211135864258,12341.886856079102
8450.781773885092,8474.13931274414
12461.45718383789,7485.401545206706
12843.362909952799,12963.201009114584
13074.171468098959,2904.136016845703
13728.265462239584,2256.5543416341147
12997.632954915365,4901.39301554362
12064.796157836914,13316.71255493164
10918.100555419922,4157.135670979817
11560.135930379232,1160.155008951823
13113.639785766602,13248.768239339193
14005.775848388672,14419.741592407227
13419.34944152832,449.6151835123698
11132.45681254069,3527.722915649414
14628.870173136393,14334.975143432617
10159.865498860678,11018.757334391275
11580.58701578776,6165.953918457031
26834.493738810223,10201.315358479818
11881.405629475912,7124.612869262695
8181.8538869222,4937.853968302409
18152.8994140625,774.7960713704427
12431.696446736654,11190.730509440104
11438.983708699545,1590.9280293782551
13080.97694905599,1372.2360738118489
15960.471822102865,1339.519790649414
19374.769454956055,12347.100748697916
13107.321365356445,13895.420806884766
14258.815979003906,4863.607757568359
12639.082728068033,12567.712727864584
12299.884048461914,4378.716735839844
13758.461725870768,1879.2268778483074
10830.743453979492,1144.5049387613933
17027.77846781413,1159.8883717854817
11763.237055460611,2248.6393432617188
13385.404037475586,11189.315602620443
12477.284871419271,1349.8472086588542
13337.938888549805,13300.942647298178
13327.58682759603,12750.585123697916
14949.890462239584,1496.8617858886719
8877.683898925781,1399.9378306070964
13159.276362101236,5459.743275960286
18877.22031656901,18625.638778686523
13968.899790445963,14049.752395629883
14556.199778238932,14452.893697102865
9460.975794474283,9800.541392008463
15224.680648803711,1103.5576070149739
12584.82248433431,3803.3521474202475
9850.35797627767,3044.8923543294272
10295.488489786783,8672.18301900228
11511.492045084635,3953.394704182943
13910.089772542318,2112.3982137044272
11965.673202514648,4114.459884643555
9342.389729817709,1415.4431966145833
9068.96880086263,940.5590464274088
13148.33366394043,13681.37483215332
10379.497166951498,3761.5528004964194
13022.61343383789,13005.977620442709
11478.649393717447,11174.160807291666
12355.67962137858,1266.918477376302
10492.203506469727,10182.008931477865
14145.394510904947,13799.540542602539
7792.870966593425,8573.190607706705
12550.050964355469,2134.30322265625
14823.0954691569,2299.116449991862
9068.595545450846,9176.728652954102
13837.9453125,3703.933624267578
11581.640604654947,3304.0645751953125
13034.083811442057,13657.715255737305
10787.817464192709,4028.338373819987
8273.663564046225,3400.4938761393228
12878.649083455404,4260.238271077474
10989.387812296549,1950.151372273763
9424.479146321615,9529.785741170248
12531.038121541342,2708.1819661458335
10586.238744099936,1747.4230550130208
10574.77825419108,4513.150166829427
10048.356455485025,9507.776565551758
10788.474182128906,10800.03879292806
9683.278925577799,2809.1555836995444
19027.746454874676,18838.819564819336
12669.958755493164,13265.711044311523
9115.79062906901,10180.066009521484
9033.351526896158,7934.142420450847
11441.351699829102,11331.807459513346
18189.33563232422,716.4386240641276
11388.95160929362,1123.4681040445964
13039.872594197592,2340.114735921224
9187.384592692057,9376.112813313803
10928.448277791342,1191.5211435953777
13077.450327555338,12820.245742797852
11063.347986857096,7414.828191121419
9153.390401204428,9003.02904256185
13936.06201171875,13757.30217997233
9620.836853027344,9100.43586730957
5622.020161946614,5738.639078776042
11307.917465209961,1922.6387125651042
10238.303181966146,10732.265970865885
16356.137135823568,21553.74685160319
17429.046305338543,8457.56342569987
12104.390925089518,3785.961380004883
11518.453603108725,12681.898620605469
12728.756240844727,2352.246378580729
16559.998443603516,1029.2853291829426
11356.424458821615,1118.8955586751301
11177.354949951172,9188.143025716146
9781.191858927408,1096.6612294514973
16868.92135111491,16638.49383544922
10898.70822652181,2103.7408854166665
11630.96233622233,4481.305918375651
10244.49365234375,4227.547119140625
13942.438293457031,14516.981623331705
13641.431523640951,1733.4432322184246
8087.482676188151,7548.00910949707
8671.235051472982,10591.701787312826
12359.170527140299,10930.299840291342
8592.346623738607,9538.63015238444
11456.115946451822,2871.9011739095054
13727.637242635092,13535.114044189453
10104.104787190756,9906.071731567383
9181.309473673502,8979.762318929037
13107.315180460611,2240.630132039388
14793.709075927734,14009.392522176107
9805.194559733072,9929.8947652181
13010.13265991211,1441.9352925618489
11687.202407836914,11898.61127726237
12600.133819580078,11472.941029866537
14186.40185546875,816.5885060628256
11107.060501098633,3127.4706064860025
8740.748123168945,8774.200820922852
14408.461430867514,1612.762227376302
14492.995229085287,1238.688232421875
9437.123362223307,2634.6751149495444
10651.329574584961,2192.5091094970703
10783.737981160482,8738.24811299642
13630.888448079428,3390.8304341634116
10411.641362508139,7903.868235270183
16651.42223103841,16346.732777913412
14538.775990804037,14083.172495524088
14077.90569559733,14208.940460205078
10247.931849161783,1071.6000569661458
14648.620569864908,13946.314336140951
6086.292587280273,2454.3192240397134
13238.278625488281,12622.139277140299
6464.311625162761,6489.240514119466
10856.698969523111,10276.684936523438
14901.79411315918,1501.551010131836
12827.307947794596,2650.216756184896
11119.626744588217,2815.542928059896
12342.697947184244,5397.6598714192705
12446.422892252604,4446.946390787761
11486.094731648764,10646.275772094727
14957.917465209961,1074.1088205973308
11112.042332967123,1724.2668151855469
15129.793467203775,1310.6697031656902
11565.38990275065,11939.231730143229
15075.55913289388,1166.7137603759766
18132.962295532227,17495.27814737956
9669.862823486328,9220.194361368814
10620.563003540039,11858.325678507486
9656.052307128906,2304.936365763346
9193.129231770834,8446.22509765625
15077.133102416992,15527.31694539388
15265.877436319986,5301.955744425456
16740.86390686035,13593.39133199056
12182.314717610678,1651.023228963216
12394.785669962564,1305.6394144694011
10992.135925292969,11136.681269327799
14993.80507405599,5350.386540730794
13365.482208251953,11662.148310343424
16275.58041381836,16105.828898111979
10219.811299641928,5848.88996887207
10914.352564493814,11070.441757202148
14977.226608276367,14926.436620076498
11320.451629638672,11249.108637491861
11068.345611572266,12307.473383585611
17072.588312784832,17015.70653788249
15311.797805786133,2903.4153035481772
15743.233606974283,1994.5122833251953
18217.538798014324,2182.247141520182
12717.247111002604,11924.046096801758
10850.619684855143,2725.092946370443
9732.650970458984,9869.528182983398
10794.294250488281,3170.112075805664
13140.204310099283,12715.848983764648
14516.763783772787,1710.6296641031902
11977.0993754069,12039.164184570312
12134.252914428711,4605.01671854655
15445.152689615885,15108.966125488281
10985.02133178711,3457.1296997070312
10728.102005004883,10332.297342936197
10599.29453531901,10409.233362833658
13342.806945800781,10458.459355672201
9844.444793701172,10938.526117960611
14338.8058980306,13753.33326212565
11878.071207682291,10200.886352539062
8920.562917073568,4182.916961669922
14149.453236897787,11058.332483927408
11667.7917582194,12163.031682332357
12091.904556274414,12283.639063517252
10495.420939127604,10764.919072469076
13316.240407307943,774.1559499104818
12478.794204711914,1014.4750264485677
12488.98329671224,11855.420542399088
8285.877370198568,10081.623942057291
17603.79480489095,17362.875554402668
6514.603922526042,4235.440068562825
15387.365173339844,15018.164489746094
13086.064453125,10974.626174926758
12970.813893636068,13101.184702555338
12104.953048706055,12560.66542561849
9225.937184651693,6986.157587687175
11791.600962320963,1878.758056640625
10926.559916178385,10654.780766805014
12621.244110107422,2631.4016927083335
11944.75102742513,10397.051411946615
8173.388763427734,959.2880910237631
10420.58432006836,10247.747965494791
8632.980728149414,3363.5029907226562
11805.342910766602,12208.251256306967
13981.035720825195,5073.064030965169
17965.789174397785,16824.443934122723
17224.120666503906,17059.25604756673
8837.014017740885,4414.695780436198
11329.071334838867,11099.957885742188
9993.11306254069,3044.9115091959634
14181.005798339844,2110.295944213867
10024.66591389974,9743.599436442057
12446.498413085938,12055.044270833334
13719.886815388998,6022.298751831055
13889.014729817709,14100.619710286459
11054.076243082682,1165.3936767578125
12468.484237670898,12203.234446207682
18958.762858072918,18756.184666951496
6294.583877563477,6056.987375895183
15969.503529866537,2729.7936248779297
14905.98040262858,1183.0896453857422
12816.139897664389,1670.3487040201824
13582.040598551432,1463.5608876546223
10678.882853190104,10688.795654296875
13704.005355834961,2836.4088033040366
13153.123942057291,8091.364980061849
8186.4979248046875,3822.7476348876953
13347.729787190756,13572.617192586264
11746.527938842773,3960.464065551758
12621.132563273111,2693.473230997721
9375.991460164389,1876.5535380045574
17048.844314575195,2691.8430836995444
16091.67990620931,16145.437042236328
11281.97681681315,8913.72076924642
14280.460235595703,15484.507624308268
9068.075693766275,10221.826731363932
13795.763305664062,2612.8938903808594
15143.10161336263,15853.113189697266
15102.708724975586,1377.1106414794922
15373.30751546224,1690.3616282145183
19972.537704467773,11382.397145589193
19796.018305460613,19895.723810831707
11328.80490620931,11223.916163126627
16141.361933390299,869.1439565022787
13941.647867838541,14401.622233072916
14291.421310424805,14117.074549357096
11105.109303792318,4567.727513631185
13306.499404907227,3727.881876627604
10596.124974568686,11328.910568237305
22287.480611165363,21608.22492472331
17462.430918375652,2970.791219075521
13285.927449544271,1439.1125793457031
13012.748453776041,10139.65705871582
10307.149978637695,2289.548573811849
11129.882456461588,11120.070317586264
6839.796483357747,7355.437093098958
13357.200556437174,12817.811141967773
11521.618347167969,7144.735188802083
9867.787165323893,2649.958307902018
10042.391555786133,5676.778467814128
12261.849258422852,5079.463516235352
20670.651580810547,1594.4779001871746
9437.349848429361,6121.422805786133
12016.67768351237,4014.7489624023438
10835.810989379883,3149.3609771728516
17103.945912679035,2581.6163431803384
12003.236694335938,12492.84504699707
12209.566228230795,11884.458389282227
6354.243759155273,6510.823389689128
10365.255727132162,11299.28532409668
13987.349212646484,784.8645477294922
8232.58928934733,8623.998809814453
12084.46181233724,12248.955327351889
8299.889358520508,1737.4676259358723
10230.577697753906,3055.461868286133
15874.175816853842,15685.865926106771
16044.660588582357,856.3279774983724
14736.386093139648,1078.1243591308594
9332.074905395508,9819.581415812174
15969.799407958984,1808.071024576823
13066.063603719076,3179.6629587809243
9555.421696980795,3069.2476959228516
12652.366078694662,4812.565653483073
12125.304646809896,12557.632436116537
13910.28020731608,2386.455235799154
15871.289347330729,1422.7074178059895
7861.542633056641,8569.15077718099
8349.8137105306,8332.108774820963
8366.619435628256,1579.8437093098958
17958.565643310547,16809.137725830078
12879.870646158854,2600.2129109700522
12411.238235473633,2448.741887410482
13080.444625854492,2716.7291005452475
10662.477172851562,11326.539413452148
12302.956303914389,3328.655034383138
14538.191975911459,2590.301030476888
11219.93256632487,1615.4551442464192
18358.668009440105,18198.54473368327
16527.56423441569,16281.577621459961
17698.630599975586,18253.918080647785
13904.606430053711,1410.2302347819011
11274.611557006836,10880.244954427084
13983.10346476237,1846.5629272460938
11092.169453938803,3387.4573923746743
9776.523529052734,9387.817352294922
9164.622909545898,1016.1487274169922
9759.199564615885,4383.228861490886
9867.841211954752,9273.861211140951
15159.474294026693,1112.2206471761067
18076.91264851888,17985.46533711751
9360.114639282227,4831.113235473633
12847.38564046224,12745.893310546875
17716.150263468426,880.3634287516276
12059.859639485678,12019.334650675455
11048.37277730306,10318.459645589193
12939.691421508789,1400.0127766927083
10858.763239542643,9686.917877197266
16416.46871439616,15966.939768473307
13967.762517293295,1596.5116628011067
9907.44970703125,2338.776168823242
10791.160400390625,5982.587600708008
14700.212346394857,14026.76107788086
12629.48280843099,13708.99028523763
10548.904927571615,4663.446039835612
11441.049611409506,11137.216471354166
17941.686757405598,17306.089803059895
12582.452123006186,4073.3479665120444
10429.640772501627,11469.531077067057
14754.878702799479,2014.226526896159
11935.30478922526,12767.725219726562
13848.930623372396,11762.446563720703
17900.35090128581,17008.028238932293
11937.37001546224,3967.0645904541016
8093.686121622722,8181.869939168294
17051.2533976237,385.7653452555339
10527.268987019857,11359.048853556314
13737.391128540039,2776.399586995443
9568.8547261556,9552.743479410807
9890.374852498373,4850.18234761556
10916.240605672201,10347.44473775228
10960.242156982422,2659.8513539632163
10332.794336954752,2404.337387084961
11752.185745239258,9186.321268717447
16631.667205810547,2803.9622853597007
14822.02432759603,14749.229380289713
12385.774103800455,2305.5660502115884
10852.203491210938,9023.164235432943
14712.117594401041,13890.883743286133
11104.545913696289,8028.070994059245
13924.097361246744,13663.689137776693
10795.533218383789,12073.17670694987
10322.634607950846,8498.294438680014
11456.739588419596,13538.695068359375
10866.427861531576,563.6118876139323
7105.036275227864,4994.707962036133
11459.216247558594,3395.2427520751953
13536.409790039062,12922.130091349283
10973.147944132486,12532.917739868164
14812.975540161133,5458.798258463542
11839.86090596517,3609.638168334961
15470.05215962728,5231.421147664388
12049.742401123047,1306.8333536783855
10320.027989705404,10139.110722859701
11284.709828694662,3747.2271677652993
7412.42882792155,1286.8516540527344
13198.944620768229,12781.311019897461
9430.641031901041,10014.303904215494
14497.896881103516,1734.3348795572917
10955.730005900064,2013.9593149820964
11293.936182657877,11172.28374226888
9736.651575724283,4453.487955729167
11721.310526529947,11188.823084513346
9440.164433797201,9390.115753173828
11418.95095316569,10561.461151123047
17895.420115152996,16326.908543904623
16016.966252644857,16251.261413574219
20054.13739522298,19697.262237548828
13284.044514973959,1656.3848470052083
11245.187286376953,11555.752385457357
11937.179168701172,11705.915837605795
15636.981114705404,3099.7490590413413
4909.02734375,2472.0631205240884
12005.062362670898,11834.345464070639
10545.674977620443,1420.4011993408203
11925.378219604492,1784.9697875976562
17076.36870320638,2076.4349670410156
11653.884460449219,11139.170715332031
10732.72112528483,8352.598317464193
11017.987116495768,11738.17310587565
11502.090540568033,2032.8664296468098
9445.682601928711,2793.5118255615234
11558.44985961914,11292.582509358725
19359.901779174805,1208.8795572916667
6752.1080322265625,8387.123184204102
10496.47711690267,1061.1909840901692
14863.597493489584,1304.2648417154949
10877.133173624674,10676.056818644205
11568.225758870443,1462.0518646240234
22266.82489522298,1567.5148366292317
16400.795608520508,464.20705159505206
16017.911010742188,15041.985336303711
7418.07475789388,1527.9142761230469
12420.808415730795,12348.792826334635
12848.687143961588,2033.410405476888
9721.284550984701,2683.821767171224
9986.290959676107,8199.19733174642
5596.2107493082685,2696.509577433268
11339.800237019857,11476.445358276367
8437.25823465983,4186.812779744466
12116.393361409506,3913.968938191732
11258.882074991861,11398.941955566406
9278.785471598307,2921.428716023763
13604.345036824545,15441.69115193685
12250.946080525717,13353.650263468424
12067.302266438803,2998.426671346029
11788.451705932617,4610.180068969727
15830.214787801107,1739.0429941813152
12154.891860961914,12575.586781819662
15691.521631876627,15221.45955912272
11642.822270711264,2522.169016520182
9843.268493652344,5105.366226196289
10085.153411865234,7963.327814737956
18553.89840189616,2954.124842325846
8070.3691965738935,7675.104563395183
12710.26432800293,8536.391764322916
14482.07568359375,14573.92291768392
12635.380381266275,14289.287623087564
14526.487197875977,14029.58821105957
8817.803771972656,5828.553904215495
11666.482228597006,10181.848795572916
9087.974950154623,969.4030202229818
13398.421371459961,4098.217458089192
10241.417419433594,10097.779098510742
21696.725006103516,21089.6209564209
12178.699183146158,1159.248779296875
11743.67763264974,3496.996576944987
13129.18739827474,11156.171595255533
10826.718795776367,1832.492884318034
11438.93352762858,9103.949493408203
10354.912450154623,10323.846201578775
13030.295135498047,647.7628682454427
7633.457239786784,2535.4469248453775
10419.986694335938,1127.6077829996746
17220.470789591473,15998.978424072266
9215.68008931478,9535.449457804361
10463.453303019205,12609.467549641928
12760.262456258139,10599.409301757812
13603.21283976237,13562.79052734375
10917.797551472982,12197.828430175781
12278.279637654623,11318.40054321289
10025.890874226889,9480.924189249674
17883.350514729816,2229.366999308268
11291.030832926432,1799.6932830810547
13519.366694132486,813.4088795979818
7870.3188883463545,7664.730107625325
14547.180669148764,1315.7246602376301
21965.85031636556,21182.197875976562
9835.517267862955,2415.4357299804688
8761.896367390951,4992.389343261719
12700.811019897461,2459.8480224609375
9504.223185221354,4590.246068318685
10280.225682576498,2227.673314412435
11394.885208129883,11030.744115193686
10794.794209798178,12546.14567565918
14559.348114013672,1891.8101399739583
14317.727905273438,3130.1243947347007
11808.729278564453,11747.55950419108
7972.862416585286,7435.85656229655
13918.22119140625,15065.52919514974
13546.897364298502,13319.594843546549
11623.793253580729,10887.556259155273
11606.170104980469,1391.2808024088542
8663.889851888021,8174.715586344401
13443.791198730469,733.4112396240234
9350.986246744791,9241.281611124674
11416.744893391928,11108.475128173828
12824.113149007162,13413.749786376953
10840.624516805014,11078.637278238932
9715.79677327474,2598.8631032307944
9645.951365152994,9405.547536214193
